keyword,title,price,likes,brand,country,url,offers,hours,score,verdict
Gourde Stanley,Gourde stanley Quencher neuve,25.0,41,Stanley,,https://www.vinted.fr/items/8701433901,0,24,3,➖ Medium Demand
Gourde Stanley,"Gourde Stanley Quencher H2.0 1,18L neuve",25.0,58,Stanley,,https://www.vinted.fr/items/8698166770,0,24,4,📈 Rising Trend
Gourde Stanley,"Gourde Stanley 1,18 L  – Neuve",25.0,2,Stanley,,https://www.vinted.fr/items/8702158669,0,24,2,➖ Medium Demand
Gourde Stanley,Gourde Stanley Quencher H2.0 Tumbler 1.2L neuve,25.0,25,Stanley,,https://www.vinted.fr/items/8698057007,0,24,3,➖ Medium Demand
Gourde Stanley,"Gourde Stanley beige 1,18 L – Neuve",25.0,61,Stanley,,https://www.vinted.fr/items/8696911150,0,24,4,📈 Rising Trend
Gourde Stanley,Gourde Stanley Quencher neuve,25.0,62,Stanley,,https://www.vinted.fr/items/8695466729,0,24,4,📈 Rising Trend
Gourde Stanley,Gourde/Tumbler Stanley 40oz beige/crème,30.0,41,Stanley,,https://www.vinted.fr/items/8699315161,0,24,3,➖ Medium Demand
Gourde Stanley,"Une gourde isotherme de 1,18 litre.",39.0,2,Stanley,,https://www.vinted.fr/items/8701629770,0,24,2,➖ Medium Demand
Gourde Stanley,Stanley Quencher 🌸🎀,24.0,46,Stanley,,https://www.vinted.fr/items/8701700240,0,24,3,➖ Medium Demand
Gourde Stanley,Gourde / mug Stanley,27.0,9,Stanley,,https://www.vinted.fr/items/8700418785,0,24,2,➖ Medium Demand
Gourde Stanley,Gourde cup Stanley Quencher,29.0,11,Stanley,,https://www.vinted.fr/items/8701316935,0,24,2,➖ Medium Demand
Gourde Stanley,Gourde Stanley Quencher Tumbler Rose x LoveFancyStock 1.18L - Neuve,50.0,73,Stanley,,https://www.vinted.fr/items/8694463443,0,24,4,📈 Rising Trend
Gourde Stanley,Stanley cup LoveShackfancy,55.0,71,Stanley,,https://www.vinted.fr/items/8700853001,0,24,4,📈 Rising Trend
Gourde Stanley,Gourde Stanley,65.0,20,Stanley,,https://www.vinted.fr/items/8699799432,0,24,3,➖ Medium Demand
Gourde Stanley,Gourde / mug Stanley,27.0,12,Stanley,,https://www.vinted.fr/items/8700427091,0,24,2,➖ Medium Demand
Gourde Stanley,Gourde Stanley,65.0,44,Stanley,,https://www.vinted.fr/items/8699519609,0,24,3,➖ Medium Demand
Gourde Stanley,Te koop: Special Edition floral Stanley beker,20.0,4,Stanley,,https://www.vinted.fr/items/8702317277,0,24,2,➖ Medium Demand
Gourde Stanley,Gourde Stanley bleu clair,20.0,33,Stanley,,https://www.vinted.fr/items/8647985160,0,24,3,➖ Medium Demand
Gourde Stanley,Stanley Quencher ProTour Tumbler - 887 ml (30 oz),35.0,25,Stanley,,https://www.vinted.fr/items/8687866177,0,24,3,➖ Medium Demand
Gourde Stanley,"Stanley Quencher Thermofles 1,18 Liter Zwart",17.0,3,Stanley,,https://www.vinted.fr/items/8702456026,0,24,2,➖ Medium Demand
Gourde Stanley,Stanley cup limited Edition,70.0,60,Stanley,,https://www.vinted.fr/items/8699676914,0,24,4,📈 Rising Trend
Gourde Stanley,Gourde isotherme Stanley,27.0,83,Stanley,,https://www.vinted.fr/items/8681436464,0,24,4,📈 Rising Trend
Gourde Stanley,Botella Stanley,35.0,16,Stanley,,https://www.vinted.fr/items/8693000040,0,24,2,➖ Medium Demand
Gourde Stanley,Nieuwe Stanley thermosfles,30.0,26,Stanley,,https://www.vinted.fr/items/8697374892,0,24,3,➖ Medium Demand
Gourde Stanley,Stanley Cup 🤎,33.9,18,Stanley,,https://www.vinted.fr/items/8700642933,0,24,2,➖ Medium Demand
Gourde Stanley,Stanley Insulated Mug 1.18L,16.0,30,Stanley,,https://www.vinted.fr/items/8643203686,0,24,3,➖ Medium Demand
Gourde Stanley,Stanley viola con stelline,35.0,1,Stanley,,https://www.vinted.fr/items/8702197574,0,24,2,➖ Medium Demand
Gourde Stanley,"Gourde Stanley Quencher H2.0 1,18L neuve",25.0,26,Stanley,,https://www.vinted.fr/items/8680202792,0,24,3,➖ Medium Demand
Gourde Stanley,Gourde stanley,55.0,27,Stanley,,https://www.vinted.fr/items/8686284602,0,24,3,➖ Medium Demand
Gourde Stanley,Stanley All Day Slim,37.0,4,Stanley,,https://www.vinted.fr/items/8701454696,0,24,2,➖ Medium Demand
